index,"resp","race"
"1",0,"black"
"2",0,"black"
"3",0,"black"
"4",0,"black"
"5",0,"black"
"6",0,"black"
"7",0,"black"
"8",0,"black"
"9",0,"black"
"10",0,"black"
"11",0,"black"
"12",0,"black"
"13",0,"black"
"14",0,"black"
"15",0,"black"
"16",0,"black"
"17",0,"black"
"18",0,"black"
"19",0,"black"
"20",0,"black"
"21",0,"black"
"22",0,"black"
"23",0,"black"
"24",0,"black"
"25",0,"black"
"26",0,"black"
"27",0,"black"
"28",0,"black"
"29",0,"black"
"30",0,"black"
"31",0,"black"
"32",0,"black"
"33",0,"black"
"34",0,"black"
"35",0,"black"
"36",0,"black"
"37",0,"black"
"38",0,"black"
"39",0,"black"
"40",0,"black"
"41",0,"black"
"42",0,"black"
"43",0,"black"
"44",0,"black"
"45",0,"black"
"46",0,"black"
"47",0,"black"
"48",0,"black"
"49",0,"black"
"50",0,"black"
"51",0,"black"
"52",0,"black"
"53",0,"black"
"54",0,"black"
"55",0,"black"
"56",0,"black"
"57",0,"black"
"58",0,"black"
"59",0,"black"
"60",0,"black"
"61",0,"black"
"62",0,"black"
"63",0,"black"
"64",0,"black"
"65",0,"black"
"66",0,"black"
"67",0,"black"
"68",0,"black"
"69",0,"black"
"70",0,"black"
"71",0,"black"
"72",0,"black"
"73",0,"black"
"74",0,"black"
"75",0,"black"
"76",0,"black"
"77",0,"black"
"78",0,"black"
"79",0,"black"
"80",0,"black"
"81",0,"black"
"82",0,"black"
"83",0,"black"
"84",0,"black"
"85",0,"black"
"86",0,"black"
"87",0,"black"
"88",0,"black"
"89",0,"black"
"90",0,"black"
"91",0,"black"
"92",0,"black"
"93",0,"black"
"94",0,"black"
"95",0,"black"
"96",0,"black"
"97",0,"black"
"98",0,"black"
"99",0,"black"
"100",0,"black"
"101",0,"black"
"102",0,"black"
"103",0,"black"
"104",0,"black"
"105",0,"black"
"106",0,"black"
"107",0,"black"
"108",0,"black"
"109",0,"black"
"110",0,"black"
"111",0,"black"
"112",0,"black"
"113",0,"black"
"114",0,"black"
"115",0,"black"
"116",0,"black"
"117",0,"black"
"118",0,"black"
"119",0,"black"
"120",1,"black"
"121",1,"black"
"122",1,"black"
"123",1,"black"
"124",1,"black"
"125",1,"black"
"126",1,"black"
"127",1,"black"
"128",1,"black"
"129",1,"black"
"130",1,"black"
"131",1,"black"
"132",1,"black"
"133",1,"black"
"134",1,"black"
"135",1,"black"
"136",2,"black"
"137",2,"black"
"138",2,"black"
"139",2,"black"
"140",2,"black"
"141",2,"black"
"142",2,"black"
"143",2,"black"
"144",2,"black"
"145",2,"black"
"146",2,"black"
"147",2,"black"
"148",3,"black"
"149",3,"black"
"150",3,"black"
"151",3,"black"
"152",3,"black"
"153",3,"black"
"154",3,"black"
"155",4,"black"
"156",4,"black"
"157",4,"black"
"158",5,"black"
"159",5,"black"
"160",0,"white"
"161",0,"white"
"162",0,"white"
"163",0,"white"
"164",0,"white"
"165",0,"white"
"166",0,"white"
"167",0,"white"
"168",0,"white"
"169",0,"white"
"170",0,"white"
"171",0,"white"
"172",0,"white"
"173",0,"white"
"174",0,"white"
"175",0,"white"
"176",0,"white"
"177",0,"white"
"178",0,"white"
"179",0,"white"
"180",0,"white"
"181",0,"white"
"182",0,"white"
"183",0,"white"
"184",0,"white"
"185",0,"white"
"186",0,"white"
"187",0,"white"
"188",0,"white"
"189",0,"white"
"190",0,"white"
"191",0,"white"
"192",0,"white"
"193",0,"white"
"194",0,"white"
"195",0,"white"
"196",0,"white"
"197",0,"white"
"198",0,"white"
"199",0,"white"
"200",0,"white"
"201",0,"white"
"202",0,"white"
"203",0,"white"
"204",0,"white"
"205",0,"white"
"206",0,"white"
"207",0,"white"
"208",0,"white"
"209",0,"white"
"210",0,"white"
"211",0,"white"
"212",0,"white"
"213",0,"white"
"214",0,"white"
"215",0,"white"
"216",0,"white"
"217",0,"white"
"218",0,"white"
"219",0,"white"
"220",0,"white"
"221",0,"white"
"222",0,"white"
"223",0,"white"
"224",0,"white"
"225",0,"white"
"226",0,"white"
"227",0,"white"
"228",0,"white"
"229",0,"white"
"230",0,"white"
"231",0,"white"
"232",0,"white"
"233",0,"white"
"234",0,"white"
"235",0,"white"
"236",0,"white"
"237",0,"white"
"238",0,"white"
"239",0,"white"
"240",0,"white"
"241",0,"white"
"242",0,"white"
"243",0,"white"
"244",0,"white"
"245",0,"white"
"246",0,"white"
"247",0,"white"
"248",0,"white"
"249",0,"white"
"250",0,"white"
"251",0,"white"
"252",0,"white"
"253",0,"white"
"254",0,"white"
"255",0,"white"
"256",0,"white"
"257",0,"white"
"258",0,"white"
"259",0,"white"
"260",0,"white"
"261",0,"white"
"262",0,"white"
"263",0,"white"
"264",0,"white"
"265",0,"white"
"266",0,"white"
"267",0,"white"
"268",0,"white"
"269",0,"white"
"270",0,"white"
"271",0,"white"
"272",0,"white"
"273",0,"white"
"274",0,"white"
"275",0,"white"
"276",0,"white"
"277",0,"white"
"278",0,"white"
"279",0,"white"
"280",0,"white"
"281",0,"white"
"282",0,"white"
"283",0,"white"
"284",0,"white"
"285",0,"white"
"286",0,"white"
"287",0,"white"
"288",0,"white"
"289",0,"white"
"290",0,"white"
"291",0,"white"
"292",0,"white"
"293",0,"white"
"294",0,"white"
"295",0,"white"
"296",0,"white"
"297",0,"white"
"298",0,"white"
"299",0,"white"
"300",0,"white"
"301",0,"white"
"302",0,"white"
"303",0,"white"
"304",0,"white"
"305",0,"white"
"306",0,"white"
"307",0,"white"
"308",0,"white"
"309",0,"white"
"310",0,"white"
"311",0,"white"
"312",0,"white"
"313",0,"white"
"314",0,"white"
"315",0,"white"
"316",0,"white"
"317",0,"white"
"318",0,"white"
"319",0,"white"
"320",0,"white"
"321",0,"white"
"322",0,"white"
"323",0,"white"
"324",0,"white"
"325",0,"white"
"326",0,"white"
"327",0,"white"
"328",0,"white"
"329",0,"white"
"330",0,"white"
"331",0,"white"
"332",0,"white"
"333",0,"white"
"334",0,"white"
"335",0,"white"
"336",0,"white"
"337",0,"white"
"338",0,"white"
"339",0,"white"
"340",0,"white"
"341",0,"white"
"342",0,"white"
"343",0,"white"
"344",0,"white"
"345",0,"white"
"346",0,"white"
"347",0,"white"
"348",0,"white"
"349",0,"white"
"350",0,"white"
"351",0,"white"
"352",0,"white"
"353",0,"white"
"354",0,"white"
"355",0,"white"
"356",0,"white"
"357",0,"white"
"358",0,"white"
"359",0,"white"
"360",0,"white"
"361",0,"white"
"362",0,"white"
"363",0,"white"
"364",0,"white"
"365",0,"white"
"366",0,"white"
"367",0,"white"
"368",0,"white"
"369",0,"white"
"370",0,"white"
"371",0,"white"
"372",0,"white"
"373",0,"white"
"374",0,"white"
"375",0,"white"
"376",0,"white"
"377",0,"white"
"378",0,"white"
"379",0,"white"
"380",0,"white"
"381",0,"white"
"382",0,"white"
"383",0,"white"
"384",0,"white"
"385",0,"white"
"386",0,"white"
"387",0,"white"
"388",0,"white"
"389",0,"white"
"390",0,"white"
"391",0,"white"
"392",0,"white"
"393",0,"white"
"394",0,"white"
"395",0,"white"
"396",0,"white"
"397",0,"white"
"398",0,"white"
"399",0,"white"
"400",0,"white"
"401",0,"white"
"402",0,"white"
"403",0,"white"
"404",0,"white"
